Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
203,324.98816,417.26382,2106.3513,157,2.0699883,35
204,323.10806,418.83102,2111.476,158,2.0449877,35
205,321.17795,421.43246,2116.5508,159,2.019987,35
206,319.19788,431.13684,2152.7754,160,1.9949868,35
207,341.31778,434.08405,2157.9001,161,2.1199863,35
208,363.6877,434.82272,2157.9001,162,2.2449858,35
209,361.8576,439.47708,2157.9001,163,2.2199852,35
210,359.97748,441.7585,2162.3743,164,2.1949847,35
211,358.04736,444.9743,2199.199,165,2.169984,35
212,332.73505,435.6151,2236.2737,127,2.619961,36
213,332.15494,439.66623,2241.3484,128,2.5949605,36
214,331.5248,441.00082,2278.773,129,2.5699599,36
215,330.8447,441.82693,2283.8977,130,2.5449593,36
216,641.97845,421.06424,2321.6724,127,5.0549483,38
217,643.8333,422.9609,2326.8472,128,5.0299478,38
218,645.6382,422.58902,2364.972,129,5.004947,38
219,647.39307,410.73456,2364.972,130,4.9799466,39
220,649.09796,415.08878,2364.972,131,4.954946,39
221,650.7528,419.00052,2402.796,132,4.9299455,39
222,652.35767,421.32388,2407.9705,133,4.904945,39
223,653.91254,423.31912,2413.0952,134,4.8799443,39
224,655.4174,424.89877,2418.17,135,4.8549438,39
225,656.87225,424.97482,2423.1948,136,4.829943,39
226,658.27716,426.22382,2462.3694,137,4.8049426,39
227,1252.8522,420.8868,2501.794,133,9.419941,40
228,1279.022,422.54037,2506.9688,134,9.54494,40
229,1285.1918,424.4288,2546.7434,135,9.519939,40
230,1311.7117,425.4109,2551.9683,136,9.644938,40
231,1338.4814,427.60522,2557.1428,137,9.7699375,40
232,1344.8013,427.45963,2597.3674,138,9.744937,40
233,1351.0712,435.36542,2602.5923,139,9.719936,40
234,1357.291,442.1898,2607.7668,140,9.694936,40
235,1363.4608,441.27045,2612.8916,141,9.669935,40
236,1369.5807,440.9886,2617.9663,142,9.644935,40
237,1375.6506,442.86176,2658.841,143,9.619934,40
238,1381.6704,447.74496,2699.9656,144,9.5949335,40
239,1387.6403,448.33676,2705.1904,145,9.569933,40
240,1393.5602,460.85712,2710.365,146,9.544932,39
241,1399.4299,462.24298,2715.4897,147,9.519932,39
242,1405.2499,462.87115,2720.5645,148,9.494931,39
243,1411.0197,461.6288,2725.5894,149,9.469931,39
244,598.9729,475.37546,2767.4639,149,4.0199523,38
245,599.24274,477.45966,2772.5386,150,3.9949517,38
246,622.1126,482.20566,2777.5632,151,4.1199512,38
247,645.23254,495.0437,2782.538,152,4.244951,37
248,645.6524,496.42072,2824.9626,153,4.21995,37
249,646.0222,499.3975,2829.9873,154,4.1949496,37
250,646.3421,532.11786,2872.762,155,4.169949,35
251,646.61194,533.41547,2877.8367,156,4.1449485,35
252,646.83185,535.2358,2882.8613,157,4.119948,35
253,647.0017,541.3147,3002.5857,158,4.0949473,35
254,647.1215,541.44775,3002.5857,159,4.069947,35
255,93.77399,564.69727,3002.5857,155,0.60499346,34
256,90.47898,564.9685,3002.5857,156,0.5799935,34
257,87.13398,565.6704,3002.5857,157,0.5549935,34
258,671.55096,587.23596,3002.5857,163,4.1199446,33
259,696.17084,591.5036,3021.0337,164,4.244944,33
260,696.2907,593.5893,3021.0337,165,4.2199435,33
261,696.36053,598.43274,3021.0337,166,4.194943,33
262,696.3804,603.2261,3022.7573,167,4.1699424,33
263,696.3502,603.9482,3027.582,168,4.144942,33
