Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
338,3912.1218,2683.5422,14364.686,913,4.284909,35
339,3910.5957,2680.7869,14619.059,918,4.259908,35
340,2812.048,2598.2727,14619.682,916,3.0699215,36
341,2942.5222,2596.4968,14620.055,921,3.194921,36
342,3074.2463,2603.4749,14876.677,926,3.3199205,36
343,3067.5706,2611.1375,14877.3,931,3.29492,36
344,3060.6445,2687.0803,14877.673,936,3.2699194,35
345,3053.4685,2690.9248,14877.796,941,3.2449188,35
346,3187.9429,2704.3293,15137.168,946,3.3699183,35
347,3181.0168,2717.548,15137.541,951,3.3449178,35
348,3173.8408,2710.798,15137.664,956,3.3199172,35
349,3310.565,2708.9075,15137.664,961,3.4449167,35
350,3303.639,2720.157,15137.664,966,3.4199162,35
351,3442.113,2712.3098,15137.664,971,3.5449157,35
352,3435.4373,2712.9478,15137.664,976,3.519915,35
353,3575.6611,2710.1455,15137.664,981,3.6449146,35
354,3569.2354,2712.55,15137.664,986,3.619914,35
355,3562.5593,2730.5828,15137.664,991,3.5949135,35
356,755.5085,2655.7976,15137.664,927,0.81500375,36
357,876.0835,2664.0344,15395.2705,932,0.94000375,36
358,857.3585,2658.3306,15395.2705,937,0.9150038,36
359,838.3836,2597.9753,15395.2705,942,0.8900038,37
360,819.1586,2594.5852,15395.2705,947,0.8650038,37
361,799.68365,2601.9197,15395.2705,952,0.84000385,37
362,923.50867,2615.4934,15395.2705,957,0.96500385,37
363,904.28375,2603.1555,15395.2705,962,0.9400039,37
364,2230.0222,2541.798,15395.2705,951,2.3449235,38
365,2217.8464,2547.2688,15395.2705,956,2.319923,38
366,2205.4204,2504.7014,15395.2705,961,2.2949224,39
367,2337.6445,2510.3098,15395.2705,966,2.4199219,39
368,2325.4685,2530.284,15639.623,971,2.3949213,39
369,2459.4426,2554.0664,15639.623,976,2.5199208,39
370,2447.5168,2558.9985,15639.623,981,2.4949203,39
371,3215.9133,2506.1858,15639.623,960,3.3499098,40
372,3208.5374,2456.885,15639.623,965,3.3249092,41
373,3200.9114,2469.0366,15639.623,970,3.2999086,41
374,3193.0354,2476.5403,15639.623,975,3.274908,41
375,3184.9094,2476.1072,15639.623,980,3.2499075,41
376,3176.5332,2496.794,15639.623,985,3.224907,41
377,2735.9382,2441.9592,15639.623,960,2.8499358,42
378,2726.0625,2522.4766,15639.623,965,2.8249352,41
379,2715.9365,2516.5454,15639.623,970,2.7999346,41
380,2851.8108,2515.8525,15639.623,975,2.9249341,41
381,1093.0087,2447.7825,15639.623,963,1.1350038,42
382,1074.4838,2446.859,15639.623,968,1.1100038,42
383,1055.7087,2463.7104,15639.623,973,1.0850039,42
384,3109.3074,2540.3123,15639.623,995,3.124932,41
385,3099.9314,2536.3706,15639.623,1000,3.0999315,41
386,3241.0557,2538.0515,15639.623,1005,3.224931,41
387,3231.9297,2614.5298,15639.623,1010,3.1999304,40
388,3374.804,2632.1028,15639.623,1015,3.32493,40
389,3365.928,2628.1824,15639.623,1020,3.2999294,40
390,3356.802,2552.583,15639.623,1025,3.2749288,41
391,3656.4263,2542.9485,15639.623,1030,3.5499284,41
392,3648.3003,2539.2495,15639.623,1035,3.5249279,41
393,3795.9246,2551.856,15639.623,1040,3.6499274,41
394,1141.0842,2616.0552,15639.623,1028,1.1100041,40
395,3937.4226,2659.2932,15639.623,1050,3.7499263,39
396,3929.7966,2670.3699,15639.623,1055,3.7249258,39
397,3921.9207,2681.0347,15639.623,1060,3.6999252,39
398,3913.7947,2770.38,15720.558,1065,3.6749246,38
399,3905.4187,2903.4558,15720.558,1070,3.649924,36
400,4058.0427,2896.4065,15720.558,1075,3.7749236,36
401,4049.9167,2902.7969,15720.558,1080,3.749923,36
402,4041.5408,2891.3013,15720.558,1085,3.7249224,36
403,4196.415,2900.8123,15720.558,1090,3.849922,36
404,4188.289,2890.0107,15720.558,1095,3.8249214,36
405,4179.913,2905.443,15720.558,1100,3.7999208,36
406,4171.2866,2925.9011,15935.04,1105,3.7749202,36
407,4162.4106,2932.8838,16228.663,1110,3.7499197,36
408,4153.2847,2889.2761,16228.663,1115,3.724919,36
409,4143.9087,2825.191,16228.663,1120,3.6999185,37
410,4303.0327,2927.919,16502.031,1125,3.824918,36
411,4293.9067,2926.036,16502.031,1130,3.7999175,36
412,4284.531,2927.7434,16502.031,1135,3.774917,36
413,4274.905,2876.1035,16502.031,1140,3.7499163,37
414,4265.0283,2873.6711,16502.031,1145,3.7249157,37
415,4254.9023,2878.677,16502.031,1150,3.6999152,37
416,807.98517,2800.6665,16502.031,1138,0.71000457,38
417,4233.9004,2882.5903,16731.639,1160,3.649914,37
418,4397.7744,2859.446,16731.639,1165,3.7749135,37
419,4387.398,2942.8984,16731.639,1170,3.749913,36
420,3283.483,3029.3398,16731.639,1205,2.7248821,35
421,3448.3567,3060.9795,16997.379,1210,2.8498816,35
422,3432.2305,3054.134,16997.379,1215,2.824881,35
